simulation_id,Train_method,Test_method,A_is_random,B_is_random,A_wins,B_wins,draws,terminated_games,avg_match_length
1,vs_random,not_include_draws,True,True,466,501,0,967,103.38986556359876
1,vs_random,include_draws,True,True,171,176,9974,347,16.178674351585013
1,vs_random,not_include_draws,False,True,4294,824,0,5118,19.5273544353263
1,vs_random,include_draws,False,True,4364,236,10203,4600,7.893478260869565
1,vs_belief,not_include_draws,False,False,6325,6183,0,12508,7.994803325871442
1,vs_belief,not_include_draws,False,True,3868,748,0,4616,21.652729636048527
1,vs_belief,not_include_draws,True,False,711,3196,0,3907,25.589454824673663
1,vs_belief,include_draws,False,False,4990,3753,10106,8743,6.651149491021388
1,vs_belief,include_draws,False,True,3473,228,9984,3701,8.718724669008376
1,vs_belief,include_draws,True,False,233,2572,9986,2805,9.848841354723708
2,vs_random,not_include_draws,True,True,507,500,0,1007,99.25521350546177
2,vs_random,include_draws,True,True,170,194,10090,364,16.78021978021978
2,vs_random,not_include_draws,False,True,3541,717,0,4258,23.484499765147955
2,vs_random,include_draws,False,True,2803,190,10050,2993,10.271633812228533
2,vs_belief,not_include_draws,False,False,4374,4150,0,8524,11.729938995776632
2,vs_belief,not_include_draws,False,True,3320,663,0,3983,25.10595028872709
2,vs_belief,not_include_draws,True,False,751,3345,0,4096,24.409912109375
2,vs_belief,include_draws,False,False,3777,2891,9892,6668,7.320635872825435
2,vs_belief,include_draws,False,True,2589,195,10082,2784,10.194683908045977
2,vs_belief,include_draws,True,False,220,2704,10080,2924,9.78419972640219
3,vs_random,not_include_draws,True,True,482,482,0,964,103.72717842323651
3,vs_random,include_draws,True,True,199,165,9950,364,15.637362637362637
3,vs_random,not_include_draws,False,True,4780,777,0,5557,17.991542199028252
3,vs_random,include_draws,False,True,4329,222,9952,4551,8.168973851900681
3,vs_belief,not_include_draws,False,False,4578,4378,0,8956,11.165140687807057
3,vs_belief,not_include_draws,False,True,3133,771,0,3904,25.611936475409838
3,vs_belief,not_include_draws,True,False,634,2436,0,3070,32.54462540716612
3,vs_belief,include_draws,False,False,2974,3058,10073,6032,8.070457559681698
3,vs_belief,include_draws,False,True,2255,225,9861,2480,11.405645161290323
3,vs_belief,include_draws,True,False,172,1966,10187,2138,10.226379794200188
4,vs_random,not_include_draws,True,True,480,517,0,997,100.25376128385156
4,vs_random,include_draws,True,True,176,164,9967,340,16.83235294117647
4,vs_random,not_include_draws,False,True,4146,679,0,4825,20.71523316062176
4,vs_random,include_draws,False,True,3244,210,10017,3454,9.682976259409381
4,vs_belief,not_include_draws,False,False,4718,4442,0,9160,10.916812227074235
4,vs_belief,not_include_draws,False,True,3852,776,0,4628,21.607173725151252
