simulation_id,Train_method,Test_method,A_is_random,B_is_random,A_wins,B_wins,draws,terminated_games,avg_match_length
1,vs_random,not_include_draws,True,True,466,501,0,967,103.38986556359876
1,vs_random,include_draws,True,True,171,176,9974,347,16.178674351585013
1,vs_random,not_include_draws,False,True,5970,534,0,6504,15.373616236162361
1,vs_random,include_draws,False,True,4485,161,10203,4646,8.59169177787344
1,vs_belief,not_include_draws,False,False,4157,3923,0,8080,12.37549504950495
1,vs_belief,not_include_draws,False,True,3097,480,0,3577,27.943528096169974
1,vs_belief,not_include_draws,True,False,443,2836,0,3279,30.488258615431533
1,vs_belief,include_draws,False,False,2696,2907,10106,5603,8.089416384079957
1,vs_belief,include_draws,False,True,2556,182,9984,2738,9.758582907231556
1,vs_belief,include_draws,True,False,146,2269,9986,2415,10.319668737060042
2,vs_random,not_include_draws,True,True,507,500,0,1007,99.25521350546177
2,vs_random,include_draws,True,True,170,194,10090,364,16.78021978021978
2,vs_random,not_include_draws,False,True,6876,321,0,7197,13.893427817146033
2,vs_random,include_draws,False,True,5163,116,10050,5279,7.90339079371093
2,vs_belief,not_include_draws,False,False,3738,4207,0,7945,12.586532410320956
2,vs_belief,not_include_draws,False,True,4014,406,0,4420,22.62262443438914
2,vs_belief,not_include_draws,True,False,378,2313,0,2691,37.14901523597176
2,vs_belief,include_draws,False,False,2576,2458,9892,5034,8.886174016686532
2,vs_belief,include_draws,False,True,3198,135,10082,3333,9.152415241524153
2,vs_belief,include_draws,True,False,123,1046,10080,1169,14.660393498716852
3,vs_random,not_include_draws,True,True,482,482,0,964,103.72717842323651
3,vs_random,include_draws,True,True,199,165,9950,364,15.637362637362637
3,vs_random,not_include_draws,False,True,6087,428,0,6515,15.347659247889485
3,vs_random,include_draws,False,True,4281,158,9952,4439,8.97431854021176
3,vs_belief,not_include_draws,False,False,3632,4097,0,7729,12.937896234959245
3,vs_belief,not_include_draws,False,True,4173,479,0,4652,21.493766122098023
3,vs_belief,not_include_draws,True,False,452,2958,0,3410,29.31935483870968
3,vs_belief,include_draws,False,False,2363,2710,10073,5073,8.664695446481373
3,vs_belief,include_draws,False,True,3825,161,9861,3986,8.074009031610638
3,vs_belief,include_draws,True,False,127,2513,10187,2640,9.659469696969698
4,vs_random,not_include_draws,True,True,480,517,0,997,100.25376128385156
4,vs_random,include_draws,True,True,176,164,9967,340,16.83235294117647
4,vs_random,not_include_draws,False,True,6553,437,0,6990,14.305579399141632
4,vs_random,include_draws,False,True,4613,145,10017,4758,8.781000420344682
4,vs_belief,not_include_draws,False,False,3902,3847,0,7749,12.904632855852368
4,vs_belief,not_include_draws,False,True,3504,515,0,4019,24.881313759641703
